States,Years,Numbers
NE,2009,5044
NH,2009,1973
NJ,2009,27109
NM,2009,12223
NV,2009,18650
NY,2009,75034
OH,2009,36674
OK,2009,18546
OR,2009,9926
PA,2009,48004
RI,2009,2678
SC,2009,30681
SD,2009,1538
TN,2009,41943
TX,2009,121640
UT,2009,5955
VA,2009,18143
VT,2009,835
WA,2009,21887
WI,2009,14605
WV,2009,5055
WY,2009,1184
AL,2010,15749
AR,2010,14241
AZ,2010,25828
CA,2010,164087
CO,2010,16644
CT,2010,10088
DE,2010,5607
FL,2010,102051
GA,2010,37829
IA,2010,7967
ID,2010,3450
IL,2010,55871
IN,2010,20007
KS,2010,10471
KY,2010,10347
LA,2010,24160
MA,2010,30607
MD,2010,31610
ME,2010,1622
MI,2010,48188
MN,2010,12825
MO,2010,27295
MS,2010,6659
MT,2010,2686
NC,2010,32467
ND,2010,1510
NE,2010,4970
NH,2010,2083
NJ,2010,27014
NM,2010,12006
NV,2010,18130
NY,2010,75807
OH,2010,34370
OK,2010,18003
OR,2010,9564
PA,2010,46321
RI,2010,2710
SC,2010,28045
SD,2010,2015
TN,2010,38909
TX,2010,113108
UT,2010,5869
VA,2010,17192
VT,2010,809
WA,2010,20965
WI,2010,14086
WV,2010,4776
WY,2010,1107
AL,2011,19675
AR,2011,13996
AZ,2011,26739
CA,2011,154874
CO,2011,15923
CT,2011,9891
DE,2011,5146
FL,2011,98268
GA,2011,35965
IA,2011,7646
ID,2011,3171
IL,2011,53579
IN,2011,20183
KS,2011,10078
KY,2011,10371
LA,2011,23913
MA,2011,27736
MD,2011,28809
ME,2011,1640
MI,2011,43585
MN,2011,12266
MO,2011,26889
MS,2011,6314
MT,2011,2722
NC,2011,32446
ND,2011,1650
NE,2011,4566
NH,2011,2358
NJ,2011,27120
NM,2011,11746
NV,2011,14880
NY,2011,77319
OH,2011,33627
OK,2011,17319
OR,2011,9594
PA,2011,46004
RI,2011,2588
SC,2011,27823
SD,2011,1976
TN,2011,38935
TX,2011,104673
UT,2011,5500
VA,2011,16023
VT,2011,916
WA,2011,19948
WI,2011,14168
WV,2011,4911
WY,2011,1234
AL,2012,21161
AR,2012,13681
AZ,2012,27703
CA,2012,160901
CO,2012,15755
CT,2012,10210
DE,2012,5049
FL,2012,94081
GA,2012,37085
IA,2012,7793
ID,2012,3347
IL,2012,51876
IN,2012,21383
KS,2012,10254
KY,2012,9683
LA,2012,21818
MA,2012,26604
MD,2012,28090
ME,2012,1627
MI,2012,44516
MN,2012,12760
MO,2012,27156
MS,2012,6077
MT,2012,2777
NC,2012,33763
ND,2012,1706
NE,2012,4693
NH,2012,2305
NJ,2012,25690
NM,2012,11397
NV,2012,16773
NY,2012,79326
OH,2012,33421
OK,2012,18066
OR,2012,9558
PA,2012,45383
RI,2012,2658
SC,2012,26358
SD,2012,2575
TN,2012,41151
TX,2012,106339
UT,2012,5797
VA,2012,15666
VT,2012,879
WA,2012,20244
WI,2012,16095
WV,2012,5420
WY,2012,1130
AL,2013,19737
AR,2013,13122
AZ,2013,26460
CA,2013,151871
CO,2013,15896
CT,2013,9345
DE,2013,4635
FL,2013,91802
GA,2013,35862
IA,2013,8071
ID,2013,3440
IL,2013,50089
IN,2013,21889
KS,2013,9698
KY,2013,9235
LA,2013,22920
MA,2013,26773
MD,2013,27160
ME,2013,1667
MI,2013,44062
MN,2013,12706
MO,2013,26218
MS,2013,5567
MT,2013,2843
NC,2013,31508
ND,2013,1954
NE,2013,4681
NH,2013,2627
NJ,2013,25313
NM,2013,11278
NV,2013,16352
NY,2013,76387
OH,2013,32019
OK,2013,16675
OR,2013,9040
PA,2013,42750
RI,2013,2710
SC,2013,24096
SD,2013,2631
TN,2013,37911
TX,2013,105920
UT,2013,6542
VA,2013,16382
VT,2013,771
WA,2013,19875
WI,2013,15712
WV,2013,4757
WY,2013,1125
AL,2014,19609
AR,2014,13311
AZ,2014,25854
CA,2014,151579
CO,2014,16304
CT,2014,8582
DE,2014,4568
FL,2014,91188
GA,2014,37390
IA,2014,8232
ID,2014,3418
IL,2014,46840
IN,2014,22065
KS,2014,9726
KY,2014,9486
LA,2014,24061
MA,2014,25989
MD,2014,26057
ME,2014,1608
MI,2014,42225
MN,2014,12503
MO,2014,26865
MS,2014,5270
MT,2014,3245
NC,2014,30298
ND,2014,1994
NE,2014,4922
NH,2014,2496
NJ,2014,22970
NM,2014,11909
NV,2014,18034
NY,2014,75832
OH,2014,30893
OK,2014,16047
OR,2014,9345
PA,2014,40259
RI,2014,2321
SC,2014,23745
SD,2014,2705
TN,2014,39847
TX,2014,109282
UT,2014,6242
VA,2014,16525
VT,2014,637
WA,2014,19976
WI,2014,16333
WV,2014,4797
WY,2014,1098
AL,2015,22122
AR,2015,14890
AZ,2015,29948
CA,2015,166710
CO,2015,17288
CT,2015,7944
DE,2015,4764
FL,2015,93556
GA,2015,36543
IA,2015,8491
ID,2015,3581
IL,2015,48851
IN,2015,23166
KS,2015,10865
KY,2015,9899
LA,2015,24855
MA,2015,25844
MD,2015,26533
ME,2015,1646
